지역명,연도,월,평당분양가격
전남,2016,11,6784.799999999999
경북,2016,11,7570.2
경남,2016,11,7784.7
제주,2016,11,10253.1
서울,2016,12,21261.9
인천,2016,12,10335.6
경기,2016,12,11731.5
부산,2016,12,10734.9
대구,2016,12,10375.2
광주,2016,12,9183.9
대전,2016,12,8860.5
울산,2016,12,10758.0
세종,2016,12,8926.5
강원,2016,12,6887.099999999999
충북,2016,12,6867.299999999999
충남,2016,12,7504.2
전북,2016,12,6613.2
전남,2016,12,6857.4
경북,2016,12,7626.299999999999
경남,2016,12,7880.4
제주,2016,12,10335.6
서울,2017,1,21285.0
인천,2017,1,10335.6
경기,2017,1,11728.2
부산,2017,1,10705.2
대구,2017,1,10299.3
광주,2017,1,9167.4
대전,2017,1,8860.5
울산,2017,1,10758.0
세종,2017,1,8926.5
강원,2017,1,6880.5
충북,2017,1,6946.5
충남,2017,1,7375.5
전북,2017,1,6619.799999999999
전남,2017,1,6857.4
경북,2017,1,7629.599999999999
경남,2017,1,7887.0
제주,2017,1,10309.2
서울,2017,2,21331.2
인천,2017,2,10451.1
경기,2017,2,11903.1
부산,2017,2,10701.9
대구,2017,2,10421.4
광주,2017,2,9167.4
대전,2017,2,8979.3
울산,2017,2,10767.9
세종,2017,2,8926.5
강원,2017,2,6897.0
충북,2017,2,6745.2
충남,2017,2,7378.799999999999
전북,2017,2,6629.7
전남,2017,2,6906.9
경북,2017,2,7613.099999999999
경남,2017,2,7867.2
제주,2017,2,10342.2
서울,2017,3,21021.0
인천,2017,3,10490.7
경기,2017,3,11985.6
부산,2017,3,10857.0
대구,2017,3,10560.0
광주,2017,3,9183.9
대전,2017,3,8979.3
울산,2017,3,10767.9
세종,2017,3,8926.5
강원,2017,3,6824.4
충북,2017,3,6520.799999999999
충남,2017,3,7382.099999999999
전북,2017,3,6745.2
전남,2017,3,6897.0
경북,2017,3,7560.299999999999
경남,2017,3,7943.099999999999
제주,2017,3,10220.1
서울,2017,4,21007.8
인천,2017,4,10490.7
경기,2017,4,11893.2
부산,2017,4,10853.7
대구,2017,4,10490.7
광주,2017,4,9418.2
대전,2017,4,9038.7
울산,2017,4,11807.4
세종,2017,4,9005.699999999999
강원,2017,4,6824.4
충북,2017,4,6732.0
충남,2017,4,7329.299999999999
전북,2017,4,6946.5
