지역명,전용면적,연도,월,평당분양가격
전북,85m²~102m²,2016,12,7606.5
전북,85m²~102m²,2021,9,10692.0
전남,60m²~85m²,2018,10,7768.2
전남,60m²~85m²,2016,6,6481.2
광주,102m²~,2020,3,14223.0
울산,102m²~,2016,11,10543.5
제주,60m²,2023,1,24357.3
인천,모든면적,2017,7,10962.6
전남,60m²,2017,7,7098.299999999999
전북,85m²~102m²,2018,1,7329.299999999999
충북,85m²~102m²,2021,4,8929.8
충남,60m²,2019,3,8451.3
부산,모든면적,2018,1,12678.6
충남,60m²~85m²,2023,11,12853.5
울산,모든면적,2019,10,10362.0
제주,모든면적,2018,1,11998.8
대구,85m²~102m²,2015,10,8438.1
울산,60m²~85m²,2020,12,15302.1
세종,102m²~,2023,2,
울산,모든면적,2019,8,
제주,60m²~85m²,2023,3,23076.9
충남,60m²,2020,5,8292.9
경남,60m²~85m²,2022,7,11903.1
인천,60m²~85m²,2023,8,16123.8
울산,85m²~102m²,2021,4,11599.5
제주,102m²~,2023,12,27627.6
충남,60m²,2021,6,9259.8
인천,85m²~102m²,2023,9,15721.2
경북,85m²~102m²,2019,6,8801.1
서울,60m²~85m²,2021,4,25469.4
경남,모든면적,2024,2,13840.2
부산,85m²~102m²,2023,10,24083.4
인천,60m²~85m²,2021,6,14751.0
충남,85m²~102m²,2023,2,13160.4
대전,85m²~102m²,2023,6,
부산,60m²~85m²,2017,10,12325.5
전북,85m²~102m²,2023,10,9817.5
광주,102m²~,2016,8,11609.4
세종,모든면적,2018,10,10388.4
충남,60m²~85m²,2018,5,8134.5
부산,60m²~85m²,2023,9,21684.3
경남,60m²~85m²,2020,11,10256.4
경북,60m²,2016,3,7170.9
전남,60m²,2019,1,7101.599999999999
경북,60m²~85m²,2023,12,13229.7
경북,모든면적,2017,2,7613.099999999999
전남,60m²~85m²,2017,10,7471.2
충남,102m²~,2020,11,
광주,모든면적,2023,5,18176.4
광주,모든면적,2021,3,13919.4
대전,85m²~102m²,2015,10,8121.299999999999
충남,85m²~102m²,2018,8,8768.1
충북,모든면적,2015,10,6705.599999999999
대전,모든면적,2024,4,18767.1
강원,모든면적,2021,1,10355.4
강원,60m²~85m²,2024,1,14513.4
전북,60m²,2021,5,8606.4
경북,모든면적,2018,4,8052.0
세종,60m²,2017,6,9170.7
대전,모든면적,2020,10,10579.8
경남,모든면적,2016,3,7863.9
서울,85m²~102m²,2018,10,22578.6
경기,102m²~,2020,10,16077.6
부산,85m²~102m²,2024,7,24944.7
전북,102m²~,2019,1,8748.3
충북,모든면적,2022,2,9042.0
세종,60m²,2022,6,10523.7
서울,102m²~,2017,12,22822.8
전남,85m²~102m²,2024,6,
경북,85m²~102m²,2023,1,11975.7
충남,60m²,2021,9,9438.0
서울,모든면적,2021,4,28135.8
대구,모든면적,2022,1,15981.9
서울,102m²~,2019,8,29257.8
서울,모든면적,2019,8,26706.9
경남,모든면적,2015,12,7613.099999999999
전북,102m²~,2015,11,7530.599999999999
강원,60m²~85m²,2021,11,9662.4
부산,모든면적,2015,12,10319.1
경남,85m²~102m²,2017,4,9477.6
경남,85m²~102m²,2016,6,10071.6
대전,60m²~85m²,2016,10,10137.6
제주,85m²~102m²,2021,8,
울산,85m²~102m²,2021,9,11599.5
대전,102m²~,2022,10,16189.8
울산,모든면적,2019,4,
강원,102m²~,2021,12,11579.7
충북,60m²,2016,11,6870.599999999999
제주,모든면적,2020,5,14902.8
서울,60m²,2017,3,21681.0
대전,모든면적,2020,3,11226.6
전남,85m²~102m²,2020,7,9916.5
충북,102m²~,2022,7,10695.3
충남,60m²,2018,2,7989.299999999999
대구,60m²~85m²,2023,4,17014.8
전남,모든면적,2024,3,12147.3
세종,모든면적,2016,4,8844.0
서울,모든면적,2023,1,30630.6
세종,102m²~,2019,11,12972.3
전북,60m²~85m²,2023,10,11493.9
충남,60m²~85m²,2020,3,8682.3
광주,102m²~,2019,9,13724.7
강원,60m²~85m²,2017,7,7065.299999999999
부산,60m²~85m²,2015,10,9896.7
제주,85m²~102m²,2016,11,10418.1
전북,85m²~102m²,2018,10,8698.8
경남,102m²~,2017,9,10388.4
인천,102m²~,2018,9,
전북,모든면적,2021,2,8718.6
강원,102m²~,2019,5,8494.199999999999
대구,60m²,2023,12,
경북,102m²~,2017,11,9850.5
광주,60m²~85m²,2017,8,9537.0
울산,102m²~,2024,4,16047.9
대구,85m²~102m²,2022,12,16457.1
울산,102m²~,2022,9,19209.3
제주,60m²,2020,3,13328.7
충북,85m²~102m²,2019,5,8500.8
제주,85m²~102m²,2022,5,19549.2
대구,102m²~,2017,11,12464.1
충남,60m²,2021,12,9708.6
충남,85m²~102m²,2022,2,12645.6
경기,모든면적,2021,9,13949.1
서울,60m²~85m²,2023,2,30076.2
인천,85m²~102m²,2017,7,11309.1
충남,102m²~,2019,9,9355.5
인천,60m²,2023,12,17932.2
제주,85m²~102m²,2015,11,8523.9
대구,85m²~102m²,2022,8,17453.7
대구,85m²~102m²,2019,12,14566.2
경남,85m²~102m²,2024,3,
서울,60m²~85m²,2016,10,21572.1
광주,모든면적,2018,9,9672.3
전남,60m²,2018,2,7352.4
제주,102m²~,2020,7,
세종,모든면적,2024,7,
서울,60m²,2021,5,28960.8
세종,모든면적,2016,11,8916.6
제주,60m²,2017,12,17754.0
대구,모든면적,2022,5,16047.9
울산,85m²~102m²,2016,6,8787.9
제주,85m²~102m²,2018,10,10645.8
충북,60m²~85m²,2022,1,9081.6
부산,60m²,2022,7,17367.899999999998
부산,60m²,2021,2,14298.9
전북,60m²~85m²,2016,3,6464.7
충남,85m²~102m²,2016,10,8626.199999999999
제주,60m²~85m²,2021,10,22397.1
광주,60m²,2020,12,11619.3
부산,모든면적,2024,8,22304.7
경남,모든면적,2023,8,11163.9
서울,모든면적,2020,10,26660.7
전남,85m²~102m²,2024,5,
충북,85m²~102m²,2018,12,8992.5
전남,모든면적,2018,4,7771.5
충북,85m²~102m²,2018,8,8992.5
전남,102m²~,2020,11,11837.1
서울,60m²~85m²,2023,5,29736.3
충북,85m²~102m²,2023,5,10896.6
경남,모든면적,2022,6,11929.5
광주,모든면적,2021,9,14315.4
충남,85m²~102m²,2022,1,12645.6
부산,102m²~,2022,3,17909.1
경북,102m²~,2022,11,12912.9
광주,모든면적,2023,6,18176.4
울산,102m²~,2021,7,
전남,102m²~,2017,2,7652.7
경기,85m²~102m²,2016,2,11157.3
울산,102m²~,2023,12,16047.9
세종,85m²~102m²,2017,10,9207.0
부산,모든면적,2018,12,13424.4
충남,85m²~102m²,2016,3,8385.3
울산,102m²~,2022,11,19750.5
울산,모든면적,2018,7,10312.5
경북,102m²~,2024,8,15345.0
대구,60m²,2018,9,12394.8
경남,102m²~,2020,12,10447.8
충남,60m²~85m²,2020,2,8652.6
서울,85m²~102m²,2020,12,32237.7
대구,60m²~85m²,2016,11,10276.2
