지역명,전용면적,연도,월,평당분양가격
제주,102m²~,2019,1,9741.6
경기,102m²~,2024,5,22977.9
충남,60m²,2024,7,12411.3
세종,102m²~,2020,12,11299.2
경남,102m²~,2024,7,15081.0
전북,모든면적,2019,7,8210.4
경북,102m²~,2023,12,12949.2
인천,102m²~,2016,12,13863.3
전북,102m²~,2017,3,7639.5
대구,모든면적,2017,6,10711.8
울산,102m²~,2023,1,17612.1
대전,60m²~85m²,2019,8,10979.1
서울,60m²,2022,11,30383.1
세종,60m²,2020,1,
서울,85m²~102m²,2015,11,23403.6
충북,60m²,2016,10,6857.4
경북,102m²~,2021,10,12992.1
대전,모든면적,2022,8,13761.0
경북,모든면적,2017,10,7811.099999999999
부산,60m²,2019,3,12728.1
대전,모든면적,2018,7,9698.7
세종,85m²~102m²,2017,3,8830.8
경북,85m²~102m²,2016,5,8827.5
경북,60m²~85m²,2023,2,12500.4
전북,85m²~102m²,2023,12,
대전,60m²,2020,10,10101.3
부산,85m²~102m²,2016,10,11203.5
제주,모든면적,2019,1,11299.2
부산,60m²,2024,1,19417.2
경기,60m²,2021,4,13559.7
대전,85m²~102m²,2024,8,19892.4
충남,모든면적,2017,1,7375.5
울산,85m²~102m²,2018,10,
대전,모든면적,2023,4,16153.5
울산,60m²~85m²,2016,10,10635.9
전남,모든면적,2017,4,6949.799999999999
대전,모든면적,2022,6,13761.0
울산,85m²~102m²,2018,5,
대전,102m²~,2022,11,16189.8
충남,102m²~,2020,10,
대전,모든면적,2017,6,9038.7
울산,102m²~,2022,3,27188.7
경남,60m²,2015,10,7388.7
충남,102m²~,2023,2,12804.0
광주,60m²,2023,5,18001.5
충북,60m²,2022,9,10949.4
전남,60m²~85m²,2017,9,7329.299999999999
제주,85m²~102m²,2023,4,21908.7
인천,60m²,2018,3,12388.2
충북,60m²,2018,3,7748.4
강원,102m²~,2018,5,8682.3
대구,60m²,2022,4,15387.9
제주,102m²~,2017,10,
제주,60m²~85m²,2016,8,9134.4
울산,60m²~85m²,2020,5,10830.6
세종,102m²~,2019,7,12972.3
경기,85m²~102m²,2024,7,24172.5
경북,102m²~,2020,6,9094.8
경기,102m²~,2023,12,22086.9
광주,60m²~85m²,2018,4,9537.0
대전,60m²~85m²,2022,10,15048.0
충북,102m²~,2017,10,8250.0
서울,60m²~85m²,2017,9,19595.4
대전,102m²~,2021,5,
충북,85m²~102m²,2021,10,8870.4
광주,모든면적,2022,2,14572.8
울산,60m²~85m²,2023,3,18186.3
경기,85m²~102m²,2022,10,20664.6
경남,85m²~102m²,2022,3,12549.9
대구,102m²~,2019,8,15972.0
세종,60m²~85m²,2021,6,12879.9
충북,85m²~102m²,2022,9,11117.7
전남,60m²~85m²,2019,2,7933.2
경북,60m²~85m²,2021,9,10292.7
전북,85m²~102m²,2019,2,10071.6
울산,모든면적,2021,7,14747.7
강원,60m²,2018,10,7995.9
대구,60m²~85m²,2018,6,12094.5
대전,모든면적,2016,9,8306.1
광주,60m²,2023,10,19440.3
세종,102m²~,2020,1,12972.3
충북,60m²~85m²,2019,12,7580.099999999999
세종,60m²~85m²,2022,1,11101.2
광주,60m²,2022,7,11751.3
전남,102m²~,2023,9,14388.0
전남,60m²~85m²,2016,10,6547.2
대전,85m²~102m²,2017,2,8580.0
전남,60m²~85m²,2019,12,8091.599999999999
충북,60m²~85m²,2016,5,6679.2
인천,60m²~85m²,2020,6,15100.8
경북,85m²~102m²,2016,12,8877.0
경북,60m²~85m²,2022,10,11932.8
충남,85m²~102m²,2024,5,13691.7
경기,모든면적,2023,1,17239.2
광주,85m²~102m²,2020,10,15213.0
대구,모든면적,2017,1,10299.3
강원,모든면적,2021,3,9576.6
충남,60m²,2019,12,7860.599999999999
전북,60m²,2022,12,9246.6
전북,60m²~85m²,2018,11,7675.799999999999
전북,102m²~,2016,10,7669.2
경기,102m²~,2023,5,22129.8
강원,102m²~,2018,1,8923.199999999999
전북,60m²~85m²,2018,10,7593.299999999999
광주,60m²,2016,10,8474.4
제주,60m²~85m²,2018,7,11074.8
경남,모든면적,2018,2,8903.4
서울,85m²~102m²,2020,5,36359.4
부산,모든면적,2018,7,13035.0
인천,102m²~,2017,2,13863.3
충남,102m²~,2016,9,9124.5
울산,모든면적,2023,3,18423.9
