iter	RMSE
209	0.1297421951
210	0.1295829093
211	0.1294255998
212	0.1292986669
213	0.1291584482
214	0.1290413305
215	0.1289219061
216	0.1288046103
217	0.128704271
218	0.1285619584
219	0.1284610654
220	0.1283348743
221	0.1280796352
222	0.1280042286
223	0.1278397161
224	0.1277332691
225	0.1276054881
226	0.1274279751
227	0.1273377285
228	0.127187477
229	0.1270352219
230	0.1269362939
231	0.1267785451
232	0.1266634141
233	0.1265395925
234	0.1263612752
235	0.1261816655
236	0.1260090687
237	0.1259345792
238	0.1257943221
239	0.1256657353
240	0.1255349325
241	0.1254235693
242	0.1252692748
243	0.1251250242
244	0.1250665022
245	0.1248997549
246	0.1248268583
247	0.1247304761
248	0.1246670502
249	0.12456715
250	0.1244641885
251	0.1243263264
252	0.124180949
253	0.1240064323
254	0.1239305262
255	0.1238299213
256	0.1237000566
257	0.1236059879
258	0.123451002
259	0.1233344301
260	0.1231225296
261	0.1230892815
262	0.1229881874
263	0.122901483
264	0.1227719772
265	0.122655607
266	0.12247388
267	0.1222775109
268	0.1221699634
269	0.1219552826
270	0.1217617583
271	0.12162988
272	0.1215652639
273	0.1215213161
274	0.1213994988
275	0.1213079012
276	0.1210967649
277	0.1209957893
278	0.1208528011
279	0.1207546777
280	0.1206589179
281	0.1205604644
282	0.1204197493
283	0.1203581282
284	0.1201663897
285	0.1200689416
286	0.1199577926
287	0.1198036188
288	0.1197058251
289	0.1196239693
290	0.1195370772
291	0.1193529878
292	0.1192610446
293	0.1191597033
294	0.1190153407
295	0.1189223846
296	0.1187801974
297	0.1186238338
298	0.1184987036
299	0.1183938761
300	0.1182962264
301	0.1181743654
302	0.1180829197
303	0.1179457168
304	0.1178153867
305	0.1177768133
306	0.1177000609
307	0.1175946441
308	0.1175153847
309	0.1173564877
310	0.117251983
311	0.1171707
312	0.1170218571
313	0.1168599265
314	0.1167339368
315	0.1165362021
316	0.1163488074
317	0.1162776432
318	0.1161981041
319	0.116048174
320	0.1158951348
321	0.1158170366
322	0.1156925785
323	0.1155784082
324	0.1154523995
325	0.1153612182
326	0.1152501379
327	0.1151578705
328	0.1150845767
329	0.1149878677
330	0.1148449928
331	0.1147634925
332	0.1146841196
333	0.1145317766
334	0.1144202515
335	0.1143286231
336	0.1142854541
337	0.1141974356
338	0.1141623685
339	0.1140062194
340	0.113963006
341	0.1139220663
342	0.1138763131
343	0.1138047031
344	0.1136977831
345	0.1136050922
346	0.1135334602
347	0.1134480389
348	0.1133631693
349	0.1132849523
350	0.1131736294
351	0.1130323958
352	0.1129264983
353	0.1128497524
354	0.1127670809
355	0.1126840386
356	0.1126132115
357	0.1125154721
358	0.1123996967
359	0.1122901782
360	0.1120920502
361	0.1119801134
362	0.1118423711
363	0.1117365371
364	0.1116849463
365	0.1116419394
366	0.1115975038
367	0.1115633891
368	0.1115016973
369	0.111444867
370	0.1113828469
371	0.1113301145
372	0.1111940003
373	0.1111568793
374	0.1111202648
375	0.1110335544
376	0.110971046
377	0.1108452316
378	0.1107756794
379	0.1106971349
380	0.1106284311
381	0.1105408822
382	0.1104107152
383	0.1103375832
384	0.110212462
385	0.1100639967
386	0.1100112746
387	0.1098780616
388	0.109803549
389	0.1097099461
390	0.1096414352
391	0.1095665091
392	0.1095113891
393	0.1094461729
394	0.1093437934
395	0.1092459741
396	0.109185958
397	0.1091189575
398	0.1090200744
399	0.1089324055
400	0.1088950985
401	0.1088465646
402	0.1087794838
403	0.10874594
404	0.1085797399
405	0.1085234232
406	0.1084340223
407	0.1082940997
408	0.1082167408
409	0.1081848459
410	0.1081543658
411	0.1079804346
412	0.1078727448
413	0.1077866563
414	0.107649449
415	0.1075844853
416	0.1075474145
417	0.1074723484
418	0.1073765492
419	0.1073074944
420	0.1071794285
421	0.1071150905
422	0.1070361571
423	0.1069175638
424	0.106846941
425	0.1066810026
426	0.1066393724
427	0.1065462275
428	0.1064498486
429	0.106391594
430	0.1063144175
431	0.1062576503
432	0.1061654809
433	0.1061308753
434	0.1060768332
435	0.1060247051
436	0.1059388483
437	0.105848092
438	0.1057622643
439	0.105691489
440	0.105646616
441	0.1055567043
442	0.1054852383
443	0.1054065204
444	0.1053655132
445	0.1052592033
446	0.1052130493
447	0.1051498442
448	0.1050309938
449	0.1049765206
450	0.1048435875
451	0.1048096127
452	0.1047351218
453	0.104657122
454	0.1045554387
455	0.1044862324
456	0.1044050585
457	0.1043535034
458	0.1042868151
459	0.1042333171
460	0.1041497247
461	0.1041097579
462	0.1039727868
463	0.1038929799
464	0.1037932393
465	0.1037120179
466	0.1036341008
467	0.1035993142
468	0.1034990471
469	0.1034204611
470	0.1033826028
471	0.1032779801
472	0.1031745506
473	0.1031025736
474	0.1029992703
475	0.1028627726
476	0.1028258571
477	0.1026987757
478	0.1026099531
479	0.1025473139
480	0.1025015973
481	0.1024629486
482	0.1023368415
483	0.1022645886
484	0.1022191243
485	0.1021522099
486	0.102107809
487	0.1020245686
488	0.1019425871
489	0.1018635144
490	0.1017537005
491	0.1016497177
492	0.1015687078
493	0.1015106373
494	0.1014517251
495	0.1013969885
496	0.1013488059
497	0.1012852795
498	0.1012164854
499	0.1011479603
500	0.1010929152
501	0.1010542348
502	0.1009698621
503	0.1009315839
504	0.1008783206
505	0.1007535398
506	0.100688512
507	0.1006468144
508	0.1006010444
509	0.1005223259
510	0.1004749836
511	0.1004511771
512	0.1003744446
513	0.1003339234
514	0.1002605544
515	0.1001853956
516	0.1001314738
517	0.1000614585
518	0.1000245197
519	0.0999372887
520	0.09984054573
521	0.09978897562
522	0.09968922234
523	0.09959873511
524	0.09953008882
525	0.09947528568
526	0.09942194828
527	0.09932585096
528	0.09923274258
529	0.09916328255
530	0.0990840856
531	0.09899946055
532	0.09893092708
533	0.09886790804
534	0.09882434282
535	0.09873611756
536	0.09869164111
537	0.09857227065
538	0.09852961015
539	0.09839758222
540	0.09831911673
541	0.09824904576
542	0.09818278698
543	0.09808736844
544	0.09803585618
545	0.09800321579
546	0.09796398528
547	0.09793485972
548	0.09788403085
549	0.09779851742
550	0.09769538715
551	0.09763520202
552	0.09746064205
553	0.09737086606
554	0.09733400854
555	0.0972539236
556	0.09719026773
557	0.0971229155
558	0.09704802417
559	0.09701210383
560	0.0969324919
561	0.09690041837
562	0.09682522536
563	0.09678924745
564	0.0967555409
565	0.09669204142
566	0.09659311667
567	0.09651996663
568	0.09641390747
569	0.09632554836
570	0.09629698752
571	0.09622149396
572	0.09616962513
573	0.09613403254
574	0.09603825325
575	0.09598996653
576	0.09593186557
577	0.09586301501
578	0.09575252049
579	0.09569382921
580	0.09565983994
581	0.09562812922
582	0.0955971535
583	0.09551475613
584	0.09544753092
585	0.09539715036
586	0.09534203398
587	0.09528632918
588	0.09522851607
589	0.09519063693
590	0.09512692531
591	0.09506837106
592	0.09496188001
593	0.0948972794
594	0.09483442902
595	0.09475515795
596	0.09471171766
597	0.09468386395
598	0.09463678504
599	0.09456296516
600	0.09453883531
601	0.09445672145
602	0.094402626
603	0.09435481557
604	0.09427417753
605	0.09423972714
606	0.09413963467
607	0.09405592833
608	0.09400536136
609	0.09394387827
610	0.09389796352
611	0.09386461936
612	0.09378984241
613	0.09375413654
614	0.09365775983
615	0.09358235695
616	0.093531974
617	0.09348437695
618	0.09343190838
619	0.09334229158
620	0.09324038739
621	0.0932028635
622	0.09312809122
623	0.09307053614
624	0.09301311307
625	0.09293562528
626	0.09290883431
627	0.0928787924
628	0.09280914818
629	0.09274870736
630	0.09271474815
631	0.09260393609
632	0.09255680078
633	0.09249733145
634	0.09243099554
635	0.0923969358
636	0.09233812174
637	0.09226503663
638	0.09223369068
639	0.09219550741
640	0.09215509204
641	0.09212103391
642	0.09207878328
643	0.0920293065
644	0.09200828856
645	0.09197685047
646	0.09195277653
647	0.09187945537
648	0.09183450031
649	0.09180343433
650	0.09175050556
651	0.09168633101
652	0.09166155733
653	0.09164658334
654	0.09159582842
655	0.09155010313
656	0.09151820073
657	0.09144857033
658	0.09141397238
659	0.09134389921
660	0.09133139483
661	0.0912916706
662	0.09125474715
663	0.09117662562
664	0.0911456811
665	0.09108764343
666	0.09104318603
667	0.09101760347
668	0.09099482117
669	0.09091310796
670	0.09088769107
671	0.09081578002
672	0.09076303993
673	0.09072846707
674	0.09071236763
675	0.09064513989
676	0.09060338124
677	0.09053720255
678	0.09049198891
679	0.09042343901
680	0.09034049458
681	0.09029356166
682	0.09024990047
683	0.09013231771
684	0.09007592009
685	0.09002120716
686	0.0899746732
687	0.08989124132
688	0.089880518
689	0.08985474187
690	0.08977550086
691	0.08974069501
692	0.0896653297
693	0.08957456497
694	0.08953835629
695	0.08947724956
696	0.08943251536
697	0.08939239331
698	0.08934045293
699	0.08925090476
700	0.08920655226
701	0.08914645414
702	0.08908474379
703	0.08906003005
704	0.08898630976
705	0.08895114905
706	0.08892783575
707	0.0888924912
708	0.08883152407
709	0.08879982779
710	0.08877366494
711	0.08871353867
712	0.08868305607
713	0.08867299394
714	0.08861366389
715	0.08857142738
716	0.08854985833
717	0.08851029831
718	0.08846753493
719	0.08842947165
720	0.08834109806
721	0.08832313961
722	0.08821619088
723	0.08811726866
724	0.08805783199
725	0.08801085439
726	0.08797849231
727	0.08793487657
728	0.08789013378
729	0.08784530101
730	0.08779642689
731	0.08771041498
732	0.08765743127
733	0.0876218659
734	0.08753845536
735	0.0874874076
736	0.08745070755
737	0.0873256948
738	0.08729199161
739	0.08723126211
740	0.08721933952
741	0.08717778786
742	0.08713945143
743	0.08706873675
744	0.08700717574
745	0.08698059237
746	0.08690716904
747	0.08686638019
748	0.0868112323
749	0.08673514405
750	0.08667096287
751	0.08662415312
752	0.08657191332
753	0.08652088258
754	0.08644728779
755	0.08638254766
756	0.08631826577
757	0.08626018205
758	0.08621011264
759	0.08615886136
760	0.08611194323
761	0.08604935169
762	0.08599312141
763	0.08592199427
764	0.08589993861
765	0.08586428423
766	0.08582662621
767	0.08578411092
768	0.0857575471
769	0.08572219331
770	0.08567964609
771	0.08561103565
772	0.08558555911
773	0.08557232261
774	0.08556307655
775	0.08554415907
776	0.08549296388
777	0.08545794835
778	0.08542922132
779	0.08536513553
780	0.08533084277
781	0.085312686
782	0.08527907397
783	0.08525718291
784	0.0852091762
785	0.08517069418
786	0.08510937991
787	0.08508490452
788	0.08505334422
789	0.08501458515
790	0.08498189999
791	0.08496001904
792	0.0849282639
793	0.08489014569
794	0.08484810844
795	0.08478086505
796	0.08474563795
797	0.08469455243
798	0.08464305561
799	0.08462661406
800	0.08460207151
801	0.08454993094
802	0.08450188275
803	0.08443273675
804	0.08440862725
805	0.08434727662
806	0.08432356907
807	0.08429983977
808	0.08426120951
809	0.08422910118
810	0.08417372481
811	0.08410990695
812	0.08403746729
813	0.08400326597
814	0.08396984928
815	0.08391684494
816	0.08388725587
817	0.08385824011
818	0.08380996161
819	0.08375972581
820	0.08371480815
821	0.08365327383
822	0.08361434485
823	0.08356285153
824	0.08353203059
825	0.08345681374
826	0.08340647962
827	0.08331225386
828	0.08327489566
829	0.08326691805
830	0.08316891941
831	0.08313671625
832	0.08312935964
833	0.08310903561
834	0.08306548209
835	0.0829958793
836	0.08295875859
837	0.08291934672
838	0.08290701387
839	0.08286642093
840	0.08278281652
841	0.08271469627
842	0.08267814019
843	0.08255770378
844	0.08252966056
845	0.08249766978
846	0.08248546277
847	0.08242871604
848	0.08239328991
849	0.08233393871
850	0.0822790728
851	0.08224845917
852	0.08221692123
853	0.08219053998
854	0.08217866548
855	0.08215607063
856	0.08212561667
857	0.08203307046
858	0.08199507599
859	0.08196656514
860	0.08194966264
861	0.08191796622
862	0.08186518476
863	0.0818228019
864	0.08176235123
865	0.08172972967
866	0.08170699991
867	0.0816844944
868	0.08163571767
869	0.0816034312
870	0.08154572021
871	0.08152287972
872	0.08148303807
873	0.08144294902
874	0.0814066009
875	0.08137802012
876	0.08136682698
877	0.08132832582
878	0.08130794026
879	0.08128436612
880	0.08126032962
881	0.0812121124
882	0.08117853387
883	0.08114444249
884	0.08110415667
885	0.08105415303
886	0.08100303818
887	0.08094452207
888	0.08090610125
889	0.08088791955
890	0.08086342728
891	0.08080878979
892	0.08075641133
893	0.08070362651
894	0.08067138191
895	0.0806413682
896	0.08062014027
897	0.08054106819
898	0.08048880378
899	0.08041965315
900	0.08040730061
901	0.08036681695
902	0.08035394893
903	0.08033953059
904	0.08030435672
905	0.08023861555
906	0.08021246093
907	0.08016739438
908	0.08012485218
909	0.08008662998
910	0.08001399962
911	0.0799735811
912	0.07993363923
913	0.07987381244
914	0.07985167754
915	0.07981193716
916	0.07974646733
917	0.07971362788
918	0.07966126755
919	0.07962029903
920	0.07959444671
921	0.07956801226
922	0.07953809316
923	0.07950114852
924	0.07948370135
925	0.07945147585
926	0.0794365477
927	0.07940479397
928	0.07937643825
929	0.07933274703
930	0.0793228246
931	0.07930419474
932	0.07927347965
933	0.07925260542
934	0.07924365279
935	0.07919807452
936	0.07915375401
937	0.07911291981
938	0.07907969569
939	0.07902173004
940	0.07896744156
941	0.07891725975
942	0.07888890416
943	0.07885213298
944	0.07880714181
945	0.07878604753
946	0.07872389908
947	0.07869473112
948	0.07865270395
949	0.07863111728
950	0.07860066289
951	0.07859026845
952	0.07854617837
953	0.07849406952
954	0.07846888762
955	0.07843254029
956	0.07841295701
957	0.07838638623
958	0.07836453657
959	0.07832926683
960	0.07831121005
961	0.07828399989
962	0.07826341254
963	0.07821334158
964	0.07818409427
965	0.07813027015
966	0.07811540787
967	0.0780813973
968	0.07804325284
969	0.07803301788
970	0.07801702636
971	0.07798405609
972	0.07793809461
973	0.07791450454
974	0.07787391269
975	0.07783350177
976	0.07782372696
977	0.07778039468
978	0.07777231523
979	0.07772195596
980	0.07769078327
981	0.07764712591
982	0.07762536875
983	0.07759123724
984	0.07753289051
985	0.07749819317
986	0.07748965493
987	0.07741388481
988	0.0773812916
989	0.07734423747
990	0.07730004733
991	0.07724947404
992	0.07718836164
993	0.07714812266
994	0.07711175297
995	0.07705544861
996	0.07701481669
997	0.07699221139
998	0.07698238272
999	0.07696315647
